playerID,yearID,teamID,lgID,AB,R,H,X2B,X3B,HR,RBI,SB,BB,SO,HBP,SH,SF
bourgja01,2011,HOU,NL,238,30,70,8,2,1,16,31,10,24,0,4,0
bourjpe01,2011,LAA,AL,502,72,136,26,11,12,43,22,32,124,10,7,1
bournmi01,2011,HOU,NL,429,64,130,26,7,1,32,39,38,90,3,2,1
bowdemi01,2011,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
bowkejo01,2011,PIT,NL,17,0,4,1,0,0,2,0,2,4,0,0,0
boyerbl01,2011,NYN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
brachbr01,2011,SDN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
brackan01,2011,NYA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
braddza01,2011,MIL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
bradeda01,2011,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
bradlmi01,2011,SEA,AL,101,12,22,6,1,2,13,4,13,31,1,0,0
brantmi02,2011,CLE,AL,451,63,120,24,4,7,46,13,34,76,3,3,5
branyru01,2011,ARI,NL,62,4,13,5,0,1,2,0,7,20,0,0,0
braunry02,2011,MIL,NL,563,109,187,38,6,33,111,33,58,93,5,0,3
braybi01,2011,CIN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
brazoyh01,2011,ARI,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
breslcr01,2011,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
brignre01,2011,TBA,AL,249,18,48,4,0,1,15,3,10,63,1,4,0
brittza01,2011,BAL,AL,8,3,5,1,0,1,2,0,0,1,0,0,0
brodebr01,2011,WAS,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
brothre01,2011,COL,NL,1,0,0,0,0,0,0,0,0,1,0,0,0
brownan02,2011,SLN,NL,22,1,4,1,0,0,3,0,0,8,0,0,0
brownco01,2011,WAS,NL,3,0,0,0,0,0,0,0,0,2,0,0,0
browndo01,2011,PHI,NL,184,28,45,10,1,5,19,3,25,35,0,0,1
browndu01,2011,PIT,NL,28,2,3,0,0,0,0,1,1,10,0,1,0
broxtjo01,2011,LAN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
bruceja01,2011,CIN,NL,585,84,150,27,2,32,97,8,71,158,5,1,2
brunebr01,2011,CHA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
buchhcl01,2011,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
buchhta01,2011,NYN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0
buckjo01,2011,FLO,NL,466,41,106,15,1,16,57,0,54,115,7,2,1
bucktr01,2011,CLE,AL,149,18,34,11,0,2,18,1,8,30,2,0,1
buehrma01,2011,CHA,AL,2,0,1,1,0,0,0,0,0,1,0,0,0
buentja01,2011,FLO,NL,1,0,0,0,0,0,0,0,0,1,0,0,0
bulgeja01,2011,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
bumgama01,2011,SFN,NL,59,5,7,4,0,0,3,0,5,18,0,11,0
burneaj01,2011,NYA,AL,2,0,0,0,0,0,0,0,0,2,0,1,0
burneal01,2011,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
burnese01,2011,WAS,NL,1,1,1,0,0,0,0,0,1,0,0,0,0
burrebr01,2011,PIT,NL,3,0,0,0,0,0,0,0,0,1,0,0,0
burrepa01,2011,SFN,NL,183,17,42,9,1,7,21,0,33,67,2,0,1
burriem01,2011,SFN,NL,137,14,28,1,0,0,4,11,6,17,3,6,0
burrose01,2011,ARI,NL,110,8,30,4,0,1,8,1,3,15,0,1,1
burtoja01,2011,CIN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
bushda01,2011,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
buterdr01,2011,MIN,AL,234,19,39,9,1,2,23,0,11,42,2,6,1
butlebi03,2011,KCA,AL,597,74,174,44,0,19,95,2,66,95,3,0,7
byrdati01,2011,NYN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
byrdma01,2011,CHN,NL,446,51,123,22,2,9,35,3,25,78,8,1,2
cabreas01,2011,CLE,AL,604,87,165,32,3,25,92,17,44,119,11,4,4
cabreev01,2011,SDN,NL,8,1,1,0,0,0,0,2,1,3,0,0,0
cabreme01,2011,KCA,AL,658,102,201,44,5,18,87,20,35,94,1,7,5
cabremi01,2011,DET,AL,572,111,197,48,0,30,105,2,108,89,3,0,5
cabreor01,2011,CLE,AL,324,35,79,13,0,4,38,6,13,40,3,1,3
cahiltr01,2011,OAK,AL,5,0,0,0,0,0,0,0,0,2,0,0,0
cainlo01,2011,KCA,AL,22,4,6,1,0,0,1,0,1,4,0,0,0
cainma01,2011,SFN,NL,66,5,9,1,0,1,6,0,3,30,0,8,1
cairomi01,2011,CIN,NL,245,33,65,8,2,8,33,3,18,36,7,3,3
callaal01,2011,LAA,AL,475,54,137,23,0,6,46,8,58,48,1,0,2
camermi01,2011,BOS,AL,94,9,14,2,0,3,9,0,8,25,0,1,2
campato01,2011,CHN,NL,143,24,37,3,0,1,6,24,8,30,1,3,0
campsh01,2011,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
cancero01,2011,HOU,NL,6,0,0,0,0,0,0,0,1,4,0,0,0
canoro01,2011,NYA,AL,623,104,188,46,7,28,118,8,38,96,12,0,8
